thumbnail|part_num|part_cat_id|name
https://m.rebrickable.com/media/parts/photos/9999/1030b6-9999-4cac8bff-4883-4004-bf62-ab61d44abafd.jpg|1030b6|17|Set 1030 Activity Booklet 6 - Gears
https://m.rebrickable.com/media/parts/photos/9999/1030b7-9999-e7eebefb-2ca9-40ae-b2be-af0b21387ecb.jpg|1030b7|17|Set 1030 Activity Booklet 7 - More Gears
https://m.rebrickable.com/media/parts/photos/9999/1030b8-9999-c062cfb5-6b0e-4017-9295-96ff11b0c734.jpg|1030b8|17|Set 1030 Activity Booklet 8 - Angles
https://m.rebrickable.com/media/parts/photos/9999/1030b9-9999-80776a70-9676-4a4e-9c87-708dc084c629.jpg|1030b9|17|Set 1030 Activity Booklet 9 - Flywheels
https://m.rebrickable.com/media/parts/elements/6177918.jpg|10312|47|Windscreen 10 x 6 x 3 Bubble Canopy Double Tapered with Square Front Cutout
|10312pr0002|47|Windscreen 10 x 6 x 3 Bubble Canopy Double Tapered with Square Front Cutout
https://m.rebrickable.com/media/parts/elements/6021478.jpg|10312pr0003|47|Windscreen 10 x 6 x 3 Bubble Canopy Double Tapered with Square Front Cutout and Light Bluish Gray Jedi Starfighter, Two Red Triangles on Top Print
https://m.rebrickable.com/media/parts/elements/6013130.jpg|10312pr0004|47|Windscreen 10 x 6 x 3 Bubble Canopy Double Tapered with Square Front Cutout and B-wing Starfighter Print
https://m.rebrickable.com/media/parts/elements/6063484.jpg|10312pr0005|47|Windscreen 10 x 6 x 3 Bubble Canopy Double Tapered with Square Front Cutout and Light Bluish Gray Jedi Starfighter, Two Red Triangles on Top Print
https://m.rebrickable.com/media/parts/elements/6155299.jpg|10312pr0006|47|COCKPIT 10X4X3 NO. 6
https://m.rebrickable.com/media/parts/elements/6019726.jpg|10314|37|Brick Curved 1 x 4 x 1 1/3 No Studs, Curved Top, with Raised Inside Support
https://m.rebrickable.com/media/parts/elements/6055890.jpg|10314pr0001|37|Brick Curved 1 x 4 x 1 1/3 No Studs - Curved Top and Twin White Line Speed Stripe Print
https://m.rebrickable.com/media/parts/photos/9999/1032b1-9999-13018ed9-881c-4368-9d31-1c3059167e69.jpg|1032b1|17|Set 1032 Activity Booklet 1 - Parts Tray Organizer Card
https://m.rebrickable.com/media/parts/photos/9999/1032b10-9999-e5736dfa-abf4-4632-add8-b158513a9263.jpg|1032b10|17|Set 1032 Activity Booklet 10 - Appliances
https://m.rebrickable.com/media/parts/photos/9999/1032b11-9999-9d5d00f9-ea2a-4e05-89e6-4a80433a3d55.jpg|1032b11|17|Set 1032 Activity Booklet 11 - Right Angle Drives
https://m.rebrickable.com/media/parts/photos/9999/1032b12-9999-745f2e3a-0858-4d48-9233-95d2ac36ce36.jpg|1032b12|17|Set 1032 Activity Booklet 12 - Clamps
https://m.rebrickable.com/media/parts/photos/9999/1032b13-9999-34972b65-d959-4a44-a0fa-5ab6476a3a9c.jpg|1032b13|17|Set 1032 Activity Booklet 13 - Mixers & Propellers
https://m.rebrickable.com/media/parts/photos/9999/1032b14-9999-f1a58c5e-fbaf-4092-a2af-2883b7e36ae7.jpg|1032b14|17|Set 1032 Activity Booklet 14 - Valves & Hammers
https://m.rebrickable.com/media/parts/photos/9999/1032b15-9999-8b3638bf-5db4-4712-8ad3-6e9438ee01f2.jpg|1032b15|17|Set 1032 Activity Booklet 15 - Gearing Down
https://m.rebrickable.com/media/parts/photos/9999/1032b16-9999-519acafc-1770-4433-b4f3-69328109c295.jpg|1032b16|17|Set 1032 Activity Booklet 16 - Differentials
https://m.rebrickable.com/media/parts/photos/9999/1032b17-9999-ad34f0f1-d542-4cf6-9465-9db9a7fe6363.jpg|1032b17|17|Set 1032 Activity Booklet 17 - Cranes
